Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744857692,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744857693,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744857694,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744857695,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744857696,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744857697,25,,Aggregated,0.000000,0.000000,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,2,0,4200.0,4551.490576501237,4182.6728169980925,4920.308336004382,146478.0
1744857698,30,,Aggregated,0.000000,0.000000,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,2,0,4200.0,4551.490576501237,4182.6728169980925,4920.308336004382,146478.0
1744857699,30,,Aggregated,0.000000,0.000000,4900,4900,6100,6100,6100,6100,6100,6100,6100,6100,6100,3,0,4900.0,5061.404139334627,4182.6728169980925,6081.231265001406,146478.0
1744857700,30,,Aggregated,0.000000,0.000000,4900,4900,6100,6100,6100,6100,6100,6100,6100,6100,6100,3,0,4900.0,5061.404139334627,4182.6728169980925,6081.231265001406,146478.0
1744857701,30,,Aggregated,0.285714,0.000000,6100,8400,8400,8900,8900,8900,8900,8900,8900,8900,8900,5,0,6100.0,6502.791198599152,4182.6728169980925,8929.50547199871,146478.0
1744857702,30,,Aggregated,0.285714,0.000000,6100,8400,8400,8900,8900,8900,8900,8900,8900,8900,8900,5,0,6100.0,6502.791198599152,4182.6728169980925,8929.50547199871,146478.0
